cislo;datum;id_zakaznika;id_produktu;pocet
1001;2026-09-01;1;1;1
1002;2026-09-01;2;2;1
1003;2026-09-01;1;3;2
1004;2026-09-02;3;4;1
1005;2026-09-02;4;1;1
1006;2026-09-02;1;5;3
1007;2026-09-03;2;2;1
1007;2026-09-03;2;3;1
1008;2026-09-03;5;6;1
1009;2026-09-03;3;5;1
1010;2026-09-04;4;7;1
1011;2026-09-04;1;4;1
1012;2026-09-05;5;1;2
1013;2026-09-05;6;2;1
1014;2026-09-05;2;7;1
1015;2026-09-08;3;6;1
1016;2026-09-08;4;3;1
1017;2026-09-09;1;7;1
1018;2026-09-09;6;5;2
1019;2026-09-10;5;4;1
1020;2026-09-10;2;1;1
1021;2026-09-11;3;2;1
1022;2026-09-11;6;6;1
1022;2026-09-11;6;5;1
1023;2026-09-12;4;4;1
1024;2026-09-12;1;1;1
1025;2026-09-15;5;7;1
